epoch,epochSeconds,lossTrain,lossValid,accValid
1,1606.021248803,3.3283157,2.9743216,0.23714304
6,1842.194732557,2.4954033,2.572945,0.13428569
11,1858.353808272,2.2829165,2.4576745,0.10857139
16,1887.047167252,2.236366,2.386078,0.13714284
21,1626.076295964,2.1984773,2.4721432,0.11714281
26,1635.053955984,2.0988317,2.4225783,0.12571424
31,1646.632605686,2.15782,2.3925395,0.102857105
36,1675.738453371,2.054418,2.3358881,0.11999995
41,1679.979446026,1.9905328,2.3911154,0.13428569
46,1685.946248804,2.0322468,2.3379707,0.11999995
